,vres,ouais,name,type,time,OK
0,62.702149999999996,845.649,tran_SchGtAfsTlVh,Sch,Fri Apr 28 12:37:37 2023,False
1,52.81623,831.6073,tran_SchGtAsfTlVh,Sch,Fri Apr 28 12:37:11 2023,False
2,61.759370000000004,840.5844,tran_SchGtAffTlVh,Sch,Fri Apr 28 12:36:45 2023,False
3,52.7859,834.9834000000001,tran_SchGtAssTlVh,Sch,Fri Apr 28 12:36:15 2023,False
4,62.702149999999996,845.649,tran_SchGtAfsThVh,Sch,Fri Apr 28 12:35:37 2023,False
5,52.81623,831.6073,tran_SchGtAsfThVh,Sch,Fri Apr 28 12:35:01 2023,False
6,61.759370000000004,840.5844,tran_SchGtAffThVh,Sch,Fri Apr 28 12:34:33 2023,False
7,52.7859,834.9834000000001,tran_SchGtAssThVh,Sch,Fri Apr 28 12:34:06 2023,False
8,62.702149999999996,845.649,tran_SchGtAfsTlVl,Sch,Fri Apr 28 12:33:40 2023,False
9,52.81623,831.6073,tran_SchGtAsfTlVl,Sch,Fri Apr 28 12:33:14 2023,False
10,61.759370000000004,840.5844,tran_SchGtAffTlVl,Sch,Fri Apr 28 12:32:44 2023,False
11,52.7859,834.9834000000001,tran_SchGtAssTlVl,Sch,Fri Apr 28 12:32:15 2023,False
12,62.702149999999996,845.649,tran_SchGtAfsThVl,Sch,Fri Apr 28 12:31:46 2023,False
13,52.81623,831.6073,tran_SchGtAsfThVl,Sch,Fri Apr 28 12:31:18 2023,False
14,61.759370000000004,840.5844,tran_SchGtAffThVl,Sch,Fri Apr 28 12:30:50 2023,False
15,52.7859,834.9834000000001,tran_SchGtAssThVl,Sch,Fri Apr 28 12:30:21 2023,False
