,vres,i_leftmost,diff_i,diff_v,vgate,name,type,time,OK
0,63.495239999999995,-0.9006293,-1.538997,10.159130000000001,622.9689000000001,tran_SchGtAmcttTtVt_32,Sch,Sun Apr 23 21:38:06 2023,False
1,48.896660000000004,-0.9953659,-1.9182039999999998,-1.8931950000000002,642.196,tran_SchGtAmcttTtVt_31,Sch,Sun Apr 23 21:37:43 2023,False
2,50.73666,-1.376386,-2.064392,-1.302758,639.2212000000001,tran_SchGtAmcttTtVt_30,Sch,Sun Apr 23 21:37:21 2023,False
3,57.60566,-0.9441796,-1.7856349999999999,5.422416,629.7694,tran_SchGtAmcttTtVt_29,Sch,Sun Apr 23 21:36:57 2023,False
4,52.695989999999995,-1.311553,-2.015067,0.2219854,636.2321,tran_SchGtAmcttTtVt_28,Sch,Sun Apr 23 21:36:35 2023,False
5,54.11112,-1.261134,-1.9893880000000002,0.9465719,634.5587,tran_SchGtAmcttTtVt_27,Sch,Sun Apr 23 21:36:12 2023,False
6,56.06544,-1.3782299999999998,-2.023302,3.4660469999999997,632.0127,tran_SchGtAmcttTtVt_26,Sch,Sun Apr 23 21:35:49 2023,False
7,55.50831,-1.150488,-1.780842,2.707597,633.4701,tran_SchGtAmcttTtVt_25,Sch,Sun Apr 23 21:35:26 2023,False
8,59.55212,-1.327694,-2.102897,6.278891,627.1774,tran_SchGtAmcttTtVt_24,Sch,Sun Apr 23 21:35:04 2023,False
9,56.21193,-1.305422,-1.970082,4.335303000000001,632.1271,tran_SchGtAmcttTtVt_23,Sch,Sun Apr 23 21:34:37 2023,False
10,54.97822,-0.9946181000000001,-1.69394,3.202731,634.1620999999999,tran_SchGtAmcttTtVt_22,Sch,Sun Apr 23 21:34:14 2023,False
11,61.91593,-1.049693,-1.904464,9.546001,625.1142,tran_SchGtAmcttTtVt_21,Sch,Sun Apr 23 21:33:52 2023,False
12,55.58274,-1.2806700000000002,-1.8900169999999998,2.790642,631.18,tran_SchGtAmcttTtVt_20,Sch,Sun Apr 23 21:33:27 2023,False
13,54.81622,-1.27224,-1.912854,3.3984520000000003,634.0101999999999,tran_SchGtAmcttTtVt_19,Sch,Sun Apr 23 21:33:04 2023,False
14,59.72186,-1.483901,-2.10603,8.784917,627.8399999999999,tran_SchGtAmcttTtVt_18,Sch,Sun Apr 23 21:32:41 2023,False
15,47.74544,-1.555298,-2.278896,-3.078109,644.1736999999999,tran_SchGtAmcttTtVt_17,Sch,Sun Apr 23 21:32:19 2023,False
16,59.69189,-1.285766,-2.029214,6.0454,626.3851999999999,tran_SchGtAmcttTtVt_16,Sch,Sun Apr 23 21:31:56 2023,False
17,60.11676,-1.917548,-2.345744,6.884582999999999,626.7159,tran_SchGtAmcttTtVt_15,Sch,Sun Apr 23 21:31:33 2023,False
18,54.13156,-1.3063550000000002,-2.0751,1.8132190000000001,634.0171,tran_SchGtAmcttTtVt_14,Sch,Sun Apr 23 21:31:10 2023,False
19,57.58366,-1.624902,-2.284729,4.776694,629.7067,tran_SchGtAmcttTtVt_13,Sch,Sun Apr 23 21:30:48 2023,False
20,49.15116,-1.6557419999999998,-2.333455,-2.794638,642.1945999999999,tran_SchGtAmcttTtVt_12,Sch,Sun Apr 23 21:30:24 2023,False
21,53.46634,-0.9629518,-1.64565,-0.3438761,634.4714,tran_SchGtAmcttTtVt_11,Sch,Sun Apr 23 21:30:02 2023,False
22,56.720600000000005,-1.436828,-2.09199,3.7377450000000003,630.0207,tran_SchGtAmcttTtVt_10,Sch,Sun Apr 23 21:29:35 2023,False
23,57.942550000000004,-1.193108,-1.9298629999999999,3.8732889999999998,628.4123000000001,tran_SchGtAmcttTtVt_9,Sch,Sun Apr 23 21:29:09 2023,False
24,57.240399999999994,-1.4028990000000001,-2.047422,5.819614,631.2476,tran_SchGtAmcttTtVt_8,Sch,Sun Apr 23 21:28:46 2023,False
25,52.8662,-1.437863,-2.054451,0.5846281000000001,636.0842,tran_SchGtAmcttTtVt_7,Sch,Sun Apr 23 21:28:24 2023,False
26,56.63827,-1.7003190000000001,-2.4586710000000003,4.566891,631.3819000000001,tran_SchGtAmcttTtVt_6,Sch,Sun Apr 23 21:28:00 2023,False
27,54.9465,-1.305468,-1.9451140000000002,1.675703,632.8163,tran_SchGtAmcttTtVt_5,Sch,Sun Apr 23 21:27:38 2023,False
28,56.45329,-1.064862,-1.773755,4.394017,631.3863,tran_SchGtAmcttTtVt_4,Sch,Sun Apr 23 21:27:15 2023,False
29,56.42288,-1.3403820000000002,-2.039215,3.632733,631.682,tran_SchGtAmcttTtVt_3,Sch,Sun Apr 23 21:26:51 2023,False
30,51.600100000000005,-1.3622640000000001,-2.061177,-0.9825337999999999,638.24,tran_SchGtAmcttTtVt_2,Sch,Sun Apr 23 21:26:28 2023,False
31,60.3779,-0.8758884,-1.647582,8.781973,626.448,tran_SchGtAmcttTtVt_1,Sch,Sun Apr 23 21:26:05 2023,False
32,58.19529,-1.261747,-1.9344540000000001,4.763108,628.2722,tran_SchGtAmcttTtVt,Sch,Sun Apr 23 21:25:42 2023,False
