,vres,i_leftmost,diff_i,diff_v,vgate,name,type,time,OK
0,70.79496,3.999598,2.393698,12.26308,698.4595999999999,tran_SchGtAfsTlVh,Sch,Sun Apr 23 21:48:56 2023,False
1,58.56718,5.670058,0.9571437,0.7072681,623.2094000000001,tran_SchGtAsfTlVh,Sch,Sun Apr 23 21:48:33 2023,False
2,69.12852,1.699936,0.6519181,10.63223,689.0853999999999,tran_SchGtAffTlVh,Sch,Sun Apr 23 21:48:10 2023,False
3,59.3892,1.626082,-1.284299,1.677301,632.6976,tran_SchGtAssTlVh,Sch,Sun Apr 23 21:47:47 2023,False
4,70.79496,3.999598,2.393698,12.26308,698.4595999999999,tran_SchGtAfsThVh,Sch,Sun Apr 23 21:47:24 2023,False
5,58.56718,5.670058,0.9571437,0.7072681,623.2094000000001,tran_SchGtAsfThVh,Sch,Sun Apr 23 21:47:00 2023,False
6,69.12852,1.699936,0.6519181,10.63223,689.0853999999999,tran_SchGtAffThVh,Sch,Sun Apr 23 21:46:37 2023,False
7,59.3892,1.626082,-1.284299,1.677301,632.6976,tran_SchGtAssThVh,Sch,Sun Apr 23 21:46:14 2023,False
8,70.79496,3.999598,2.393698,12.26308,698.4595999999999,tran_SchGtAfsTlVl,Sch,Sun Apr 23 21:45:51 2023,False
9,58.56718,5.670058,0.9571437,0.7072681,623.2094000000001,tran_SchGtAsfTlVl,Sch,Sun Apr 23 21:45:28 2023,False
10,69.12852,1.699936,0.6519181,10.63223,689.0853999999999,tran_SchGtAffTlVl,Sch,Sun Apr 23 21:45:06 2023,False
11,59.3892,1.626082,-1.284299,1.677301,632.6976,tran_SchGtAssTlVl,Sch,Sun Apr 23 21:44:41 2023,False
12,70.79496,3.999598,2.393698,12.26308,698.4595999999999,tran_SchGtAfsThVl,Sch,Sun Apr 23 21:44:18 2023,False
13,58.56718,5.670058,0.9571437,0.7072681,623.2094000000001,tran_SchGtAsfThVl,Sch,Sun Apr 23 21:43:56 2023,False
14,69.12852,1.699936,0.6519181,10.63223,689.0853999999999,tran_SchGtAffThVl,Sch,Sun Apr 23 21:43:31 2023,False
15,59.3892,1.626082,-1.284299,1.677301,632.6976,tran_SchGtAssThVl,Sch,Sun Apr 23 21:43:09 2023,False
