,vres,ouais,name,type,time,OK
0,66.80606999999999,720.3268,tran_SchGtAmcttTtVt_32,Sch,Fri Apr 28 14:34:58 2023,False
1,76.17269999999999,733.3676,tran_SchGtAmcttTtVt_31,Sch,Fri Apr 28 14:34:30 2023,False
2,76.1815,733.0067,tran_SchGtAmcttTtVt_30,Sch,Fri Apr 28 14:34:02 2023,False
3,69.36592,724.2586,tran_SchGtAmcttTtVt_29,Sch,Fri Apr 28 14:33:34 2023,False
4,74.51711,731.3533,tran_SchGtAmcttTtVt_28,Sch,Fri Apr 28 14:33:06 2023,False
5,68.94167,722.9308,tran_SchGtAmcttTtVt_27,Sch,Fri Apr 28 14:32:39 2023,False
6,70.17592,725.4639999999999,tran_SchGtAmcttTtVt_26,Sch,Fri Apr 28 14:32:11 2023,False
7,76.35828000000001,734.373,tran_SchGtAmcttTtVt_25,Sch,Fri Apr 28 14:31:43 2023,False
8,77.39181,734.6570999999999,tran_SchGtAmcttTtVt_24,Sch,Fri Apr 28 14:31:14 2023,False
9,73.39335,729.5047999999999,tran_SchGtAmcttTtVt_23,Sch,Fri Apr 28 14:30:46 2023,False
10,70.32479,725.6578000000001,tran_SchGtAmcttTtVt_22,Sch,Fri Apr 28 14:30:17 2023,False
11,77.72603000000001,735.9527,tran_SchGtAmcttTtVt_21,Sch,Fri Apr 28 14:29:49 2023,False
12,77.01444000000001,734.5800999999999,tran_SchGtAmcttTtVt_20,Sch,Fri Apr 28 14:29:21 2023,False
13,78.23447,735.6498,tran_SchGtAmcttTtVt_19,Sch,Fri Apr 28 14:28:53 2023,False
14,73.34422,729.5175,tran_SchGtAmcttTtVt_18,Sch,Fri Apr 28 14:28:26 2023,False
15,80.06485,738.585,tran_SchGtAmcttTtVt_17,Sch,Fri Apr 28 14:27:57 2023,False
16,70.67349,725.9390999999999,tran_SchGtAmcttTtVt_16,Sch,Fri Apr 28 14:27:30 2023,False
17,72.96394000000001,729.2193,tran_SchGtAmcttTtVt_15,Sch,Fri Apr 28 14:27:01 2023,False
18,73.27720000000001,729.8051,tran_SchGtAmcttTtVt_14,Sch,Fri Apr 28 14:26:34 2023,False
19,68.92896,723.811,tran_SchGtAmcttTtVt_13,Sch,Fri Apr 28 14:26:06 2023,False
20,78.46095,737.29,tran_SchGtAmcttTtVt_12,Sch,Fri Apr 28 14:25:37 2023,False
21,73.23028,729.9239,tran_SchGtAmcttTtVt_11,Sch,Fri Apr 28 14:25:08 2023,False
22,72.56129999999999,728.6789,tran_SchGtAmcttTtVt_10,Sch,Fri Apr 28 14:24:40 2023,False
23,72.55282,728.3822,tran_SchGtAmcttTtVt_9,Sch,Fri Apr 28 14:24:12 2023,False
24,66.5395,719.9053,tran_SchGtAmcttTtVt_8,Sch,Fri Apr 28 14:23:44 2023,False
25,67.52297,720.8728,tran_SchGtAmcttTtVt_7,Sch,Fri Apr 28 14:23:16 2023,False
26,73.68032,729.5744,tran_SchGtAmcttTtVt_6,Sch,Fri Apr 28 14:22:46 2023,False
27,73.14983,728.3686,tran_SchGtAmcttTtVt_5,Sch,Fri Apr 28 14:22:17 2023,False
28,72.0422,727.4813999999999,tran_SchGtAmcttTtVt_4,Sch,Fri Apr 28 14:21:49 2023,False
29,72.02786,727.5310000000001,tran_SchGtAmcttTtVt_3,Sch,Fri Apr 28 14:21:19 2023,False
30,73.51163,729.6416999999999,tran_SchGtAmcttTtVt_2,Sch,Fri Apr 28 14:20:51 2023,False
31,79.94179,738.7982,tran_SchGtAmcttTtVt_1,Sch,Fri Apr 28 14:20:19 2023,False
32,76.83568,734.0814,tran_SchGtAmcttTtVt,Sch,Fri Apr 28 14:19:51 2023,False
