,vres,i_leftmost,diff_i,diff_v,vgate,name,type,time,OK
0,73.22357,-2.8837659999999996,-1.8021749999999999,10.33287,683.1272,tran_SchGtAmcttTtVt_32,Sch,Sun Apr 23 22:26:02 2023,False
1,71.243,-2.439674,-1.656766,8.506212000000001,685.8788999999999,tran_SchGtAmcttTtVt_31,Sch,Sun Apr 23 22:25:40 2023,False
2,67.51775,-2.496086,-1.9332179999999999,5.002142999999999,691.4630999999999,tran_SchGtAmcttTtVt_30,Sch,Sun Apr 23 22:25:17 2023,False
3,64.18322,-2.649843,-1.9236750000000002,1.675689,694.9326,tran_SchGtAmcttTtVt_29,Sch,Sun Apr 23 22:24:54 2023,False
4,69.06895,-2.836382,-2.011863,5.664276,689.4503,tran_SchGtAmcttTtVt_28,Sch,Sun Apr 23 22:24:31 2023,False
5,71.44134000000001,-2.635592,-1.8815209999999998,6.8728560000000005,686.0437000000001,tran_SchGtAmcttTtVt_27,Sch,Sun Apr 23 22:24:08 2023,False
6,62.75226000000001,-2.868853,-2.09232,1.3057480000000001,697.8997999999999,tran_SchGtAmcttTtVt_26,Sch,Sun Apr 23 22:23:45 2023,False
7,63.69104,-2.4509529999999997,-1.671678,1.775854,696.0531,tran_SchGtAmcttTtVt_25,Sch,Sun Apr 23 22:23:22 2023,False
8,68.83594,-2.5941370000000004,-1.7024000000000001,5.815078,689.2948,tran_SchGtAmcttTtVt_24,Sch,Sun Apr 23 22:22:58 2023,False
9,70.7708,-2.677003,-1.9332699999999998,7.131912,685.9568,tran_SchGtAmcttTtVt_23,Sch,Sun Apr 23 22:22:36 2023,False
10,65.45912,-2.616642,-1.8048009999999999,2.3240589999999997,694.286,tran_SchGtAmcttTtVt_22,Sch,Sun Apr 23 22:22:13 2023,False
11,67.53152,-2.545442,-1.5115100000000001,4.061462,691.216,tran_SchGtAmcttTtVt_21,Sch,Sun Apr 23 22:21:50 2023,False
12,73.38996,-2.672696,-1.700335,9.831169000000001,684.8419,tran_SchGtAmcttTtVt_20,Sch,Sun Apr 23 22:21:27 2023,False
13,64.51897,-2.389697,-1.7574420000000002,1.854411,694.9604,tran_SchGtAmcttTtVt_19,Sch,Sun Apr 23 22:21:04 2023,False
14,68.40874,-2.569982,-1.8665180000000001,5.31838,690.1935,tran_SchGtAmcttTtVt_18,Sch,Sun Apr 23 22:20:41 2023,False
15,66.89321,-2.66045,-2.001276,3.351919,691.6537999999999,tran_SchGtAmcttTtVt_17,Sch,Sun Apr 23 22:20:19 2023,False
16,65.17688000000001,-2.5769640000000003,-1.546405,2.212514,695.0822,tran_SchGtAmcttTtVt_16,Sch,Sun Apr 23 22:19:55 2023,False
17,70.63344000000001,-2.741209,-2.0266889999999997,7.239149,687.4662999999999,tran_SchGtAmcttTtVt_15,Sch,Sun Apr 23 22:19:32 2023,False
18,64.62755,-2.449733,-1.728003,1.850686,695.6016999999999,tran_SchGtAmcttTtVt_14,Sch,Sun Apr 23 22:19:09 2023,False
19,70.95423,-2.90193,-1.778362,7.545525,685.8495999999999,tran_SchGtAmcttTtVt_13,Sch,Sun Apr 23 22:18:46 2023,False
20,64.04368000000001,-2.312979,-1.72725,1.2651489999999999,695.904,tran_SchGtAmcttTtVt_12,Sch,Sun Apr 23 22:18:23 2023,False
21,64.90255,-2.536792,-1.6819140000000001,1.732753,693.789,tran_SchGtAmcttTtVt_11,Sch,Sun Apr 23 22:18:01 2023,False
22,68.69482,-2.727204,-1.9021190000000001,6.013013,689.6774,tran_SchGtAmcttTtVt_10,Sch,Sun Apr 23 22:17:37 2023,False
23,67.06014,-2.5749940000000002,-1.709074,4.0122040000000005,691.8615,tran_SchGtAmcttTtVt_9,Sch,Sun Apr 23 22:17:15 2023,False
24,69.54855,-2.526259,-1.9069679999999998,6.30204,688.1523000000001,tran_SchGtAmcttTtVt_8,Sch,Sun Apr 23 22:16:52 2023,False
25,72.22792,-2.583209,-1.726592,8.802953,684.9381,tran_SchGtAmcttTtVt_7,Sch,Sun Apr 23 22:16:29 2023,False
26,65.13496,-2.834214,-2.059965,3.2049000000000003,695.2642,tran_SchGtAmcttTtVt_6,Sch,Sun Apr 23 22:16:06 2023,False
27,60.83681,-2.467196,-1.922086,-2.223941,699.8357,tran_SchGtAmcttTtVt_5,Sch,Sun Apr 23 22:15:44 2023,False
28,72.36489,-2.6206,-1.968867,8.257141,684.0646,tran_SchGtAmcttTtVt_4,Sch,Sun Apr 23 22:15:20 2023,False
29,68.57016,-2.801961,-1.9987819999999998,4.631248,689.7384,tran_SchGtAmcttTtVt_3,Sch,Sun Apr 23 22:14:58 2023,False
30,64.98768000000001,-2.691573,-1.958733,3.724259,695.0701,tran_SchGtAmcttTtVt_2,Sch,Sun Apr 23 22:14:33 2023,False
31,74.60985000000001,-2.960004,-1.79143,10.44279,681.3791,tran_SchGtAmcttTtVt_1,Sch,Sun Apr 23 22:14:09 2023,False
32,65.86258000000001,-2.655296,-1.8569740000000001,3.00489,694.3293,tran_SchGtAmcttTtVt,Sch,Sun Apr 23 22:13:46 2023,False
