,vres,ouais,name,type,time,OK
0,70.79496,810.7744,tran_SchGtAfsTlVh,Sch,Fri Apr 28 13:06:48 2023,False
1,58.56718,793.4821,tran_SchGtAsfTlVh,Sch,Fri Apr 28 13:06:22 2023,False
2,69.12852,804.236,tran_SchGtAffTlVh,Sch,Fri Apr 28 13:05:55 2023,False
3,59.3892,798.7959,tran_SchGtAssTlVh,Sch,Fri Apr 28 13:05:28 2023,False
4,70.79496,810.7744,tran_SchGtAfsThVh,Sch,Fri Apr 28 13:04:53 2023,False
5,58.56718,793.4821,tran_SchGtAsfThVh,Sch,Fri Apr 28 13:04:25 2023,False
6,69.12852,804.236,tran_SchGtAffThVh,Sch,Fri Apr 28 13:03:56 2023,False
7,59.3892,798.7959,tran_SchGtAssThVh,Sch,Fri Apr 28 13:03:28 2023,False
8,70.79496,810.7744,tran_SchGtAfsTlVl,Sch,Fri Apr 28 13:03:00 2023,False
9,58.56718,793.4821,tran_SchGtAsfTlVl,Sch,Fri Apr 28 13:02:32 2023,False
10,69.12852,804.236,tran_SchGtAffTlVl,Sch,Fri Apr 28 13:02:03 2023,False
11,59.3892,798.7959,tran_SchGtAssTlVl,Sch,Fri Apr 28 13:01:35 2023,False
12,70.79496,810.7744,tran_SchGtAfsThVl,Sch,Fri Apr 28 13:01:06 2023,False
13,58.56718,793.4821,tran_SchGtAsfThVl,Sch,Fri Apr 28 13:00:30 2023,False
14,69.12852,804.236,tran_SchGtAffThVl,Sch,Fri Apr 28 12:59:59 2023,False
15,59.3892,798.7959,tran_SchGtAssThVl,Sch,Fri Apr 28 12:59:30 2023,False
