,vres,ouais,name,type,time,OK
0,56.58379,790.5482000000001,tran_SchGtAmcttTtVt_32,Sch,Fri Apr 28 13:21:46 2023,False
1,60.611610000000006,796.4585,tran_SchGtAmcttTtVt_31,Sch,Fri Apr 28 13:21:19 2023,False
2,66.09675,804.2331,tran_SchGtAmcttTtVt_30,Sch,Fri Apr 28 13:20:52 2023,False
3,58.31749,793.1177,tran_SchGtAmcttTtVt_29,Sch,Fri Apr 28 13:20:22 2023,False
4,61.04179,797.0689,tran_SchGtAmcttTtVt_28,Sch,Fri Apr 28 13:19:55 2023,False
5,59.85442,795.3066,tran_SchGtAmcttTtVt_27,Sch,Fri Apr 28 13:19:29 2023,False
6,62.53931,799.2427,tran_SchGtAmcttTtVt_26,Sch,Fri Apr 28 13:19:01 2023,False
7,60.08287,795.7238,tran_SchGtAmcttTtVt_25,Sch,Fri Apr 28 13:18:34 2023,False
8,59.2298,794.4304,tran_SchGtAmcttTtVt_24,Sch,Fri Apr 28 13:18:07 2023,False
9,61.74867,798.0608,tran_SchGtAmcttTtVt_23,Sch,Fri Apr 28 13:17:39 2023,False
10,62.904180000000004,799.7445,tran_SchGtAmcttTtVt_22,Sch,Fri Apr 28 13:17:13 2023,False
11,63.37966,800.4468999999999,tran_SchGtAmcttTtVt_21,Sch,Fri Apr 28 13:16:46 2023,False
12,62.2247,798.6838,tran_SchGtAmcttTtVt_20,Sch,Fri Apr 28 13:16:20 2023,False
13,63.20632,800.1768000000001,tran_SchGtAmcttTtVt_19,Sch,Fri Apr 28 13:15:53 2023,False
14,61.86831,798.2557999999999,tran_SchGtAmcttTtVt_18,Sch,Fri Apr 28 13:15:26 2023,False
15,59.38203,794.7374000000001,tran_SchGtAmcttTtVt_17,Sch,Fri Apr 28 13:14:58 2023,False
16,60.71907,796.5944000000001,tran_SchGtAmcttTtVt_16,Sch,Fri Apr 28 13:14:31 2023,False
17,64.23472,801.6283,tran_SchGtAmcttTtVt_15,Sch,Fri Apr 28 13:14:04 2023,False
18,55.782180000000004,789.3488,tran_SchGtAmcttTtVt_14,Sch,Fri Apr 28 13:13:37 2023,False
19,57.02934,791.2432,tran_SchGtAmcttTtVt_13,Sch,Fri Apr 28 13:13:10 2023,False
20,59.33117,794.5309000000001,tran_SchGtAmcttTtVt_12,Sch,Fri Apr 28 13:12:44 2023,False
21,66.79502,805.1468000000001,tran_SchGtAmcttTtVt_11,Sch,Fri Apr 28 13:12:16 2023,False
22,60.08583,795.6925,tran_SchGtAmcttTtVt_10,Sch,Fri Apr 28 13:11:50 2023,False
23,61.344089999999994,797.5231,tran_SchGtAmcttTtVt_9,Sch,Fri Apr 28 13:11:23 2023,False
24,60.20169,795.858,tran_SchGtAmcttTtVt_8,Sch,Fri Apr 28 13:10:57 2023,False
25,57.31144,791.7123,tran_SchGtAmcttTtVt_7,Sch,Fri Apr 28 13:10:30 2023,False
26,57.513290000000005,791.9399999999999,tran_SchGtAmcttTtVt_6,Sch,Fri Apr 28 13:10:01 2023,False
27,62.67425,799.4472999999999,tran_SchGtAmcttTtVt_5,Sch,Fri Apr 28 13:09:33 2023,False
28,56.82064,790.9131,tran_SchGtAmcttTtVt_4,Sch,Fri Apr 28 13:09:06 2023,False
29,67.32055000000001,805.935,tran_SchGtAmcttTtVt_3,Sch,Fri Apr 28 13:08:39 2023,False
30,59.72545,795.2178,tran_SchGtAmcttTtVt_2,Sch,Fri Apr 28 13:08:12 2023,False
31,54.374190000000006,787.3191,tran_SchGtAmcttTtVt_1,Sch,Fri Apr 28 13:07:44 2023,False
32,61.70294,797.9519,tran_SchGtAmcttTtVt,Sch,Fri Apr 28 13:07:18 2023,False
